question,answer,intent,state,crop
lilliums borers management in lilius,recommended to spray chlorantraniliprole (coragin) 60 ml/150 litres of water / acre,plant protection,telangana,lilliums
horse gram (kulthi/kultha) market rate of horsegram and cowpea,mysuru 12/11/2024 cowpea (whole) 8500 9000 mysuru 09/11/2024 horse gram (whole) 5211 5560,market information,karnataka,horse gram (kulthi/kultha)
coconut application of goat manure in coconut,suggested to apply 5kg goat manure in coconut,organic farming,kerala,coconut
banana management of phosphorus deficiency in banana,suggested to apply 320 gram rock phosphate per banana plant after 2 month of planting,nutrient management,kerala,banana
mango stem borer management in management,--recommended to apply chlorpyrifos 6 ml /per liter of water,plant protection,telangana,mango
cotton (kapas) weed management in cotton sown after 15-20days crop,recommended to spray pyrithiobac sodium (heet weed/theam) 250 ml + quizalofop-p-ethyl (dhanuka -targa super) 400 ml/200 lits of water per acre,plant protection,telangana,cotton (kapas)
paddy (dhan) potash application in paddy,recommended to apply 15 kg potash at the time of field preperation as basal dose and 15 kg at the time of panicle initiation stage (60 - 65 days),fertilizer use and availability,telangana,paddy (dhan)
chillies copper oxy chloride use in chilli,"copper oxy chloride used to control various fungus diseases like fruit rot, stem rot, root rot and foot rot ect.",plant protection,telangana,chillies
chillies advent v information ?,"saponins present in advent v interact with the viral outer coat and cause their destruction and prevent their movement inside the plant cell and promotes plant resistance against virus crops:chillies, brinjal, tomato, tobacco, cucurbits, paddy, papaya etc., dosage:250ml advent (plant protector) per acre; also use 200gms advent (plant immunizer) with it for better results; 1.5ml plant protector + 1gm plant immunizer/ lt. of water",plant protection,andhra pradesh,chillies
acid lime nutrient management in mosambi,"recommended to spray fromula-4 600 gms/acre ,borax 600 gms/acre",nutrient management,andhra pradesh,acid lime
bhindi(okra/ladysfinger) management of leaf drying in okra,suggested to soil drench copper oxychloride @ 3g per litre water. spray verticillium @ 20g per litre water.,plant protection,kerala,bhindi(okra/ladysfinger)
nutmeg immature fruit fall in mango,suggested to apply 500 gram lime or dolomite per plant. after 2 weeks apply 50 gram borax per plant,nutrient management,kerala,nutmeg
chillies crop protection against herbicide spray,recommended to spray 10 grams of sugar in 1 litre of water,plant protection,telangana,chillies
ivy gourd spacing of ivy gourd,a spacing of 2m*2m is recommended while planting ivy gourd,cultural practices,kerala,ivy gourd
coconut the management eriophyid mite,apply neem oil + garlic emulsion (20 ml neem oil + 20 gram garlic + 5 gram bar soap in 1 water) or commercial neem azadirachtin formulation (neemazal t/s 1% @ 4ml per of water) or micronized wettable sulphur 0.4% (4gram/litre of water) in the crown on young bunches.,nutrient management,kerala,coconut
fingermillet (ragi/mandika) the quantity of ragi seeds needed for 1cent.,suggested that 80g of ragi seeds is needed for 1cent.,seeds,kerala,fingermillet (ragi/mandika)
soybean (bhat) fertilizer applicartion in soybean,recommended to apply 26 kg of urea + 26 kg of potash per acre,fertilizer use and availability,telangana,soybean (bhat)
bitter gourd management of leaf curl of bittergourd,suggested to spray dimethoate 1.5g per litre of water to control vectors. give proper nutrients to the crop,nutrient management,kerala,bitter gourd
arecanut management of termite in arecanut,suggested to drench soil with chlorpyriphos 1.5 ml per liter of water to control termites,plant protection,kerala,arecanut
banana nutrient manangement in banana.,recommended to apply 200g urea 500g rajphos and 300g potash per plant,nutrient management,kerala,banana
betel vine leaf spot disease management in betel vine,recommended to spray copper oxychloride @ 3 g/ltr of water + streptocycline @ 0.5 g/ltr of water,plant protection,karnataka,betel vine
others armer release of 20 th instalment of pm kisan samman nidhi yojana?,pm kisan 20 th installment 2025 will be released by the government of india on june month-2025,government schemes,andhra pradesh,others
others not crediting the installmments of pm kisan samman nidhi scheme,suggested to wait for pending installments. registration no.: kl211598602 name of farmer: syamala n land seeding :- yes aadhaar bank account seeding status:- yes e-kyc status :- yes,government schemes,kerala,others
others pm kisan credit card eligiblity criteria,"recommended the government of india provides interest subvention of 2% and prompt repayment incentive of 3% to the farmers, thus making the credit available at a very subsidized rate of 4% per annum. the long-term loan limit is based on the proposed investments during the five-year period and the bank’s perception of the repaying capacity of the farmer . eligibility farmers - individual/joint borrowers who are owner cultivators;tenant farmers, oral lessees & share croppers; self help groups (shgs) or joint liability groups (jlgs) of farmers including tenant farmers, share croppers",government schemes,telangana,others
maize (makka) varieties of maize for summer crop,"varieties : hybrid - hema, nithyashri, composit nac - 6004, composit nac - 6002, prakash, mah-14-5",varieties,karnataka,maize (makka)
groundnut (pea nut/mung phalli) can we apply fertilizer after seed sown information,yes we can apply fertilizer after seed sown information,plant protection,telangana,groundnut (pea nut/mung phalli)
paddy (dhan) fertilizer application in paddy filed,recommended to apply 30 kg urea + 20 kg potash + 50 kg dap per acre as basal dose after 10 days apply 20 kg zinc sulphate per acre,fertilizer use and availability,telangana,paddy (dhan)
pepper falling of immature spikes with a black cut end.,recommended to give quinalphos 2ml/l spray to control shoot borer.,plant protection,kerala,pepper
pigeon pea (red gram/arhar/tur) red gram water management ?,"irrigate immediately after sowing, 3rd day after sowing, bud initiation, 50 % flowering and pod development stages. water stagnation should be avoided.",water management,andhra pradesh,pigeon pea (red gram/arhar/tur)
pumpkin plant protection in pumpkin,recommended to spray spray 1.0 g. acephate 75 sp. in a lit. water. and after 4 to 5 days spray vegetable special @ 5 g/ltr of water,plant protection,karnataka,pumpkin
cotton (kapas) seed rate and spacing of cotton in high density planting information,seed rate of cotton in high density planting ; 3-5 kgs / acre spacing of cotton in high density planting ; row to row ; 45-80 cms and plant to plant ; 10-15 cms,cultural practices,telangana,cotton (kapas)
banana nutrient managment in banana crops,fertilizer application at 3month after planting-100g urea+300g ssp+100g mop(apply it by maintaining 30cm distance from plant ) at 5th month--150g urea+15g mop+300g neem cake +50g lime+25 g magnesium sulphate+10-15g borax (apply it by maintaining 45cm distance from plant) at 7th month--150g urea+150g mop (apply it by maintaining 60 cm distance from plant) at 8th month---spray 2%potassium sulphate @20g/lt of water over the banana bunch and cover white or blue polythene over it after spraying fertilizer application(repeat it after 30 days) at 9th month---again spray 2%potassium sulphate @20g/lt of water over the banana bunch,nutrient management,bihar,banana
pumpkin management of collar splitting and pumpkin beetle in pumpkin,"spot drench pseudomonas fluorescence @ 20g/l. after a week, spot drench and spray beauveria bassiana @ 20g/l",plant protection,kerala,pumpkin
pepper application of solubor and micronutrient mixture to blackpepper,"suggested that in addition to 3g micronutrient mixture, 2.85g solubor per litre water should be sprayed to blackpepper.",nutrient management,kerala,pepper
chillies chilli nursery raising in plug trays,fill the plug trays with cocopeat and sow the seeds and water the plug tray immediately after sowing,nursery management,telangana,chillies
others seeds availability of sunhemp,"kvk belgaum : university of agricultural sciences, sports arena, dharwad : 0836 221 4420",varieties,karnataka,others
curry leaf leaf fall in curry leaf,replied that the plant is under going winter dormancy,plant protection,kerala,curry leaf
others new application in pm kisan samman nidhi,suggested that only farmers having agricultural land before 2019 can apply pm kisan samman nidhi,government schemes,kerala,others
aonla inducing flowering in amla,suggested to apply potash at 300g per plant,nutrient management,kerala,aonla
turmeric the curing of turmeric,suggested that the harvested rhizome is cured to retain colour and quality. curing consist of boiling the rhizomes for 30-45 minutes and then drying for 10-12 days.no need to add salt into it,"post harvest management (cleaning, grading, packaging, food processing, cool chain etc.)",kerala,turmeric
others management of boron deficiency in mangosteen,suggested to spray borax 1 gram per liter of water or micronutrient mix 5 gram per liter of water.,nutrient management,kerala,others
onion ask4d management of nematodes in onion,recommended to apply carbofuran 3g granules 8 to 10 kg per acre,plant protection,telangana,onion
"jack fruit contact details of district agricultural farm,idukki","district agricultural farm. areekuzha p.o., idukki-685 584. 04862-278599 district agricultural farm, kozha, kottayam 0482-2234016",seeds and planting material,kerala,jack fruit
tomato management of leaf curl disease in tomato,suggested to spray dimethoate (rogur)2 ml per liter of water,plant protection,kerala,tomato
