question,answer,intent,state,crop
asked where to get financial assistance for construct a commercial fish farm.,to visit nearby any brance of nationalised bank and to meet respective agril field officer in this regard.,unknown,unknown,unknown
the control measure of leaf blast disease in ahu rice.,apply carbendazim @ 2 gram / litre of water.,unknown,unknown,unknown
the source 0f information 0f pure goat breed.,"contact the farm manager, goat research station ,burnihat.",unknown,unknown,unknown
askedv how to avail kcc loan for diong fish culture .,give him in details.,unknown,unknown,unknown
asked about varietes of fish spp for culture.,give him in details.,unknown,unknown,unknown
the cultivation practices of naga chilli(bhot jalakia),given in details about the cultivation practices.,unknown,unknown,unknown
the cultivation practices of rubber.,given in details about the cultivation practices.,unknown,unknown,unknown
asking for the control measure against blast in paddy rice crop cultivation.,'bavistin' solution @ 1 gram per 1 litre of water has been suggested to spray as the control measure against blast in paddy rice crop cultivation.,unknown,unknown,unknown
the control measure of red spider mite attack in tea garden,spray mastamite @ 200 ml / 400 litres of water.,unknown,unknown,unknown
asking for the seed rate for radish crop cultivation in terms of per bigha of land.,1.25 kilo gram for per 1 bigha of land has been replied as the seed rate for radish crop cultivation in a land of 1 bigha.,unknown,unknown,unknown
the control measure of powdery mildew disease in chilli,spray sulfex @ 2 gram / litre of water.,unknown,unknown,unknown
the govt. sponsored scheme of dairy farming.,the govt. scheme is dairy entrepreneurship dev. scheme of nabard.,unknown,unknown,unknown
asking that when to transplant the cauliflower seedlings to main field.,replied that the seedlings get ready for transplant when they attain a height of 10-15 centi metres or 30-35 days old.,unknown,unknown,unknown
some variety name of french bean.,"grow variety like-anupama,contender,pusa parvati etc.",unknown,unknown,unknown
retaintion of placenta in cow.,administer exaper liq. @ 100 ml twice daily on the first day and repeat the same dose once daily for next three consecutive days.,unknown,unknown,unknown
asking for the fertilizers doses to be applied in the 9th year stage of coconut trees along with the procedure of application.,"1500, 2500 and 1750 garms of urea,ssp and mop respectively, 25, 250 grams of borax and coconut special powder respectively(micro nutrient) along with 3 kg of fym has been suggested to apply in the trench method of application at a distance of 1-1.75 metres away from the trunk of the tree.suggested to cover by green leaves and then by top soil after application.urea,ssp and mop doses to be applied in two equal split doses (march-april)&(september-october)along with full doses of others suggested.",unknown,unknown,unknown
the control measure of gundhi bug attack in paddy.,apply malathion 5 % dust @ 2 kilogram / bigha and also suggested to go for light trap.,unknown,unknown,unknown
asked about feedng habit of cat fishes,gave him in details.,unknown,unknown,unknown
the control measure of cabbage looper pest attack in cabbage cultivation.,spray quinalphos 25 ec @ 2 mililitre / litre of water.,unknown,unknown,unknown
asking for the control measure against aphids and saw fly in mustard crop cultivation.,'rogor 40 ec' solution @ 75 milli litres per 60 litres of water or 'malathion 50 ec' solution @ 150 milli litres per 60 litres of water has been suggested to spray for 1 bigha of cultivated land as the control measure against aphids and saw fly in mustard crop cultivation.,unknown,unknown,unknown
asking for the manures and ferilizer doses in terms of per bigha of land for knol-khol crop cultivation.,"13, 41, 13, 200 kilo grams of urea, ssp, mop and fym respectively has been suggested as the  manures and ferilizer doses in terms of per bigha of land for cabbage crop cultivation.also suggested that half of urea and remaining in full to be applied during final land preparation. other half of urea to be dressed at 30 days after 1st earthing up.",unknown,unknown,unknown
askingthat how to avail a loan to start a piggery farm,"approach the br. manager, to his nearest nationalised bank.",unknown,unknown,unknown
the control measure of  root rot disease in bottle.,apply captaf @ gram / litre of water.,unknown,unknown,unknown
"asking for the phone numbers of krishi vigyan kendra, sibsagar.","dr. jyoti prasad dutta has been replied as the name of the programme coordinator of kvk, sibsagar and the phone number provided is 94353-87295.",unknown,unknown,unknown
asking for the planting distance to plant naga king chilli saplings in the main field.,1 metre from row to row and 75 centi metre from plant to plant has been suggested and advised as the planting distance to plant naga king chilli saplings in the main field.,unknown,unknown,unknown
asking for the planting distance for mango.,12 metres from row to row and 12 metres from plant to plant has been suggested.,unknown,unknown,unknown
asking for the control measure against root rot in brinjal.,'bavistin' solution @ 2 gram per 1 litre of water has been suggested to apply.,unknown,unknown,unknown
asked about cat fish feeding habit.,gave him in details.,unknown,unknown,unknown
asking for the control measure against field crickets and cut worms in cabbage crop cultivation field.,malathion 5% dust @ 3 kilo grams per bigha of land has been suggested to apply as control measure against field crickets and cut worms in cabbage crop cultivation field.,unknown,unknown,unknown
control measure of gungal with in potato.,spray captan @ 3gm/lit water till the soil gets wet.,unknown,unknown,unknown
control measure of bacterial with in potato.,spray mixture of 1gm hing + 5gm termeric/10 lits of water till the soil gets wet.,unknown,unknown,unknown
black rot control measure in cabbage,drench the soil along with 150ppm solution/lit of streptomycin after transplanting,unknown,unknown,unknown
asked about carp polyculture system.,gave him in details.,unknown,unknown,unknown
papaya planting method.,given in details.,unknown,unknown,unknown
asking that how bordeaux mixture is prepared ?,elaborated in details.,unknown,unknown,unknown
the control measure of root rot disease in cauliflower,apply captan @ 2 gram / litre of water near the root portion.,unknown,unknown,unknown
some sali rice variety for flood prone areas.,"suggested about the variety like-jalashree,jala kuwari,plaban etc.",unknown,unknown,unknown
asking for the control measure against fruit rot & drop in bitter gourd.,'dithane-z-78' solution @ 3 milli litres per 1 litre of water has been suggetsed to spray.,unknown,unknown,unknown
asking for the manures and fertilizer doses in terms of per bigha of land for crop crop cultivation.,"14, 41, 11 and 200 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively has been suggested as the manures and fertilizer doses in terms of per bigha of land for okra crop cultivation.",unknown,unknown,unknown
asking for the procedure of treatment of planting material for pineapple crop cultivation.,replied that the planting material should be dipped in mancozeb 75 wp solution @ 2 gram per 1 litre of water before planting to protect the plants against bud rot.,unknown,unknown,unknown
leaf eaters control measure,recommended to spray malathion 50 ec @ 0.15% @ 1.5ml/lit water,unknown,unknown,unknown
asking for the planting distance of bitter gourd.,1.5 metre from row to row and 1 metre from sedd to seed has been replied as the planting distance of bitter gourd.,unknown,unknown,unknown
asking for pre control measure for late bklight in tomato,spray endofil m 45 @ 2.5 gm/lit three times in the first 3 months(once in a month) after sowing of seeds.,unknown,unknown,unknown
control of red ants,apply malathion 5% dust @ 40kg/ha and application of mustard oil cake @ 150kg/ha,unknown,unknown,unknown
the source of pure goat breed.,"contact the farm manager, goat research farm ,burnihat.",unknown,unknown,unknown
the treatment of diarrhoea of a gaot.,administer neblon pow@ 2-3 tsf orally twice a day.,unknown,unknown,unknown
package of practice of brinjal,recommended varieties like pusa purple round/ pusa bhairav,unknown,unknown,unknown
fertilizer dose of capsicum,recommended to aplly n: p: k @ 20: 33: 13 and explained in details of doses application,unknown,unknown,unknown
asked about package and practice of composite fish culture.,gave him in details.,unknown,unknown,unknown
the control measure of late blight in tomato,spray indofil-m-45 @2.5gm/lit of water and ridomil-mz-72 @2gm/lit at 7 days interval in tomato plant continuesly for 2 to 3 times  for better result,unknown,unknown,unknown
his id. no.,given his id. no.,unknown,unknown,unknown
the cultivation practices of ash gourd.,given in details.,unknown,unknown,unknown
asked about carp feeding habits.,given him in details.,unknown,unknown,unknown
"telling that he has achieved a better harvest for pea & tomato crop after implementing the suggestions in the field received from kisan call centre, guwahati.",thanking him and requesting him to convey our helpline number to the farming community of his block & locality.,unknown,unknown,unknown
